Disease,Symptoms,Description,Treatment,Risk_Factors
drug reaction,"rash, swelling, shortness of breath, fever",adverse response to medication due to allergy or intolerance,"Discontinue drug, antihistamines, corticosteroids, epinephrine in severe cases.","History of allergies, polypharmacy, genetic sensitivity"
malaria,"fever, chills, headache, sweating, fatigue",parasitic infection transmitted by anopheles mosquitoes,"Antimalarials (e.g., artemisinin), supportive care, antipyretics.","Travel to endemic area, lacking prophylaxis, mosquito exposure"
allergy,"sneezing, itchy eyes, runny nose, hives, swelling",hypersensitive immune reaction to allergens,"Antihistamines, nasal corticosteroids, allergen avoidance.","Family history, exposure to pollen/pets, asthma"
hypothyroidism,"fatigue, weight gain, cold intolerance, dry skin, constipation",underactive thyroid gland producing insufficient hormones,Levothyroxine replacement therapy.,"Autoimmune disease, iodine deficiency, radiation therapy"
psoriasis,"red scaly plaques, itching, nail pitting, joint pain",chronic autoimmune skin disorder with rapid cell turnover,"Topical steroids, phototherapy, systemic biologics.","Family history, stress, infections, medications"
gerd,"heartburn, acid regurgitation, chest pain, hoarseness, cough",stomach acid flows back into esophagus causing irritation,"Proton pump inhibitors, lifestyle modifications.","Obesity, hiatal hernia, smoking, lying down after eating"
chronic cholestasis,"jaundice, itching, dark urine, pale stools, fatigue",impaired bile flow leading to liver damage,"Ursodeoxycholic acid, bile acid binders, vitamin supplements.","Female gender, pregnancy, gallstones, liver disease"
hepatitis a,"fever, fatigue, jaundice, abdominal pain, nausea",viral liver infection spread via fecaloral route,"Supportive care, hydration, rest; vaccine prevention.","Travel to endemic area, poor sanitation, crowded living"
osteoarthritis,"joint pain, stiffness, reduced motion, swelling, crepitus",degenerative cartilage joint disease,"NSAIDs, physical therapy, weight loss, joint replacement.","Age, obesity, joint injury, repetitive stress"
vertigo paroxysmal positional vertigo,"brief spinning sensations, nausea, imbalance, triggered by head movements",inner ear crystals dislodged causing dizziness,"Epley maneuver, vestibular rehab, antiemetics.","Age, head trauma, prior vestibular disease"
hypoglycemia,"sweating, trembling, hunger, headache, confusion",low blood glucose often due to insulin or missed meals,"Consume fast-acting carbs, adjust medications.","Diabetes treatment, skipped meals, excessive exercise"
